run_date,age,variable,value,Range
2020-06-17,"[00, 05)",ARIVisitInTimeRange,6418,"['2020-01-01', '2020-06-17']"
2020-06-17,"[05, 18)",ARIVisitInTimeRange,8374,"['2020-01-01', '2020-06-17']"
2020-06-17,"[18, 50)",ARIVisitInTimeRange,13261,"['2020-01-01', '2020-06-17']"
2020-06-17,"[50, 65)",ARIVisitInTimeRange,6154,"['2020-01-01', '2020-06-17']"
2020-06-17,"[65, 75)",ARIVisitInTimeRange,3196,"['2020-01-01', '2020-06-17']"
2020-06-17,"[75, 85)",ARIVisitInTimeRange,1700,"['2020-01-01', '2020-06-17']"
2020-06-17,"[85, 100)",ARIVisitInTimeRange,432,"['2020-01-01', '2020-06-17']"
2020-06-17,"[00, 05)",SARSCoV2TestedInTimeRange,1265,"['2020-01-01', '2020-06-17']"
2020-06-17,"[05, 18)",SARSCoV2TestedInTimeRange,2169,"['2020-01-01', '2020-06-17']"
2020-06-17,"[18, 50)",SARSCoV2TestedInTimeRange,26234,"['2020-01-01', '2020-06-17']"
2020-06-17,"[50, 65)",SARSCoV2TestedInTimeRange,10801,"['2020-01-01', '2020-06-17']"
2020-06-17,"[65, 75)",SARSCoV2TestedInTimeRange,6564,"['2020-01-01', '2020-06-17']"
2020-06-17,"[75, 85)",SARSCoV2TestedInTimeRange,3545,"['2020-01-01', '2020-06-17']"
2020-06-17,"[85, 100)",SARSCoV2TestedInTimeRange,809,"['2020-01-01', '2020-06-17']"
2020-06-17,"[00, 05)",SARSCoV2DetectedInTimeRange,22,"['2020-01-01', '2020-06-17']"
2020-06-17,"[05, 18)",SARSCoV2DetectedInTimeRange,62,"['2020-01-01', '2020-06-17']"
2020-06-17,"[18, 50)",SARSCoV2DetectedInTimeRange,915,"['2020-01-01', '2020-06-17']"
2020-06-17,"[50, 65)",SARSCoV2DetectedInTimeRange,425,"['2020-01-01', '2020-06-17']"
2020-06-17,"[65, 75)",SARSCoV2DetectedInTimeRange,197,"['2020-01-01', '2020-06-17']"
2020-06-17,"[75, 85)",SARSCoV2DetectedInTimeRange,124,"['2020-01-01', '2020-06-17']"
2020-06-17,"[85, 100)",SARSCoV2DetectedInTimeRange,46,"['2020-01-01', '2020-06-17']"
2020-06-17,"[00, 05)",firstorLastARItoFirstSARSCoV2TestedInDayRange,188,"[-1, 14]"
2020-06-17,"[05, 18)",firstorLastARItoFirstSARSCoV2TestedInDayRange,312,"[-1, 14]"
2020-06-17,"[18, 50)",firstorLastARItoFirstSARSCoV2TestedInDayRange,3621,"[-1, 14]"
2020-06-17,"[50, 65)",firstorLastARItoFirstSARSCoV2TestedInDayRange,1807,"[-1, 14]"
2020-06-17,"[65, 75)",firstorLastARItoFirstSARSCoV2TestedInDayRange,921,"[-1, 14]"
2020-06-17,"[75, 85)",firstorLastARItoFirstSARSCoV2TestedInDayRange,460,"[-1, 14]"
2020-06-17,"[85, 100)",firstorLastARItoFirstSARSCoV2TestedInDayRange,97,"[-1, 14]"
2020-06-17,"[00, 05)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,13,"[-1, 14]"
2020-06-17,"[05, 18)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,31,"[-1, 14]"
2020-06-17,"[18, 50)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,375,"[-1, 14]"
2020-06-17,"[50, 65)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,143,"[-1, 14]"
2020-06-17,"[65, 75)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,49,"[-1, 14]"
2020-06-17,"[75, 85)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,18,"[-1, 14]"
2020-06-17,"[85, 100)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,5,"[-1, 14]"
