run_date,ethnicityConcept,variable,value,Range
2020-07-13,Hispanic or Latino,ARIVisitInTimeRange,6634,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,ARIVisitInTimeRange,7895,"['2020-01-01', '2020-07-13']"
2020-07-13,Not Hispanic or Latino,ARIVisitInTimeRange,28724,"['2020-01-01', '2020-07-13']"
2020-07-13,Hispanic or Latino,SARSCoV2TestedInTimeRange,9618,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2TestedInTimeRange,19935,"['2020-01-01', '2020-07-13']"
2020-07-13,Not Hispanic or Latino,SARSCoV2TestedInTimeRange,44464,"['2020-01-01', '2020-07-13']"
2020-07-13,Hispanic or Latino,SARSCoV2DetectedInTimeRange,693,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2DetectedInTimeRange,1066,"['2020-01-01', '2020-07-13']"
2020-07-13,Not Hispanic or Latino,SARSCoV2DetectedInTimeRange,727,"['2020-01-01', '2020-07-13']"
2020-07-13,Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,1567,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,2025,"[-1, 14]"
2020-07-13,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,6182,"[-1, 14]"
2020-07-13,Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,434,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,266,"[-1, 14]"
2020-07-13,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,342,"[-1, 14]"
